,0,1
41,player_9_hero_6,-0.03965918317481052
84,player_5_hero_43,-0.03955753281827844
263,hero56_team_radiant,-0.03938469856680237
23,player_3_hero_74,-0.039327777224433424
226,hero11_team_radiant,-0.038697772000541975
79,player_9_hero_74,-0.03835686107928783
126,player_8_hero_15,-0.03832115201683278
166,player_3_hero_44,-0.03828803906693788
116,player_6_hero_78,-0.0382705743536876
119,player_8_hero_39,-0.03768313271073003
348,item_26_player8,-0.03709915007371958
333,dire_event_type_5,-0.03595577413429214
103,player_7_hero_74,-0.03565911187010523
160,player_7_hero_67,-0.03554956467024321
124,player_7_hero_6,-0.034400123873573815
127,player_4_hero_45,-0.034257262260346935
197,player_8_hero_94,-0.033817750990251305
70,player_5_hero_40,-0.03359726473819135
121,player_7_hero_53,-0.03329457332784325
172,player_4_hero_89,-0.033107308175219174
240,hero49_team_dire,-0.03309457515045651
351,item_48_player7,-0.0327184434365224
134,player_3_hero_89,-0.03243004800007299
337,radiant_event_type_2,-0.03215872017581953
352,item_56_player8,-0.03206277358822212
120,player_7_hero_34,-0.03168740205408836
67,player_4_hero_24,-0.03163547868128139
147,player_9_hero_20,-0.031199543165341334
219,hero61_team_dire,-0.03111414496626811
187,player_5_hero_20,-0.031103045550655656
140,player_4_hero_81,-0.03104897358814808
260,hero54_team_radiant,-0.031025997576751292
10,player_2_hero_8,-0.030963505349165435
246,hero26_team_dire,-0.030921573493722647
118,player_6_hero_79,-0.030346379243255922
175,player_7_hero_109,-0.02968912328695189
20,player_7_hero_71,-0.029658574566176214
358,item_98_player3,-0.028977842621171847
234,hero82_team_dire,-0.0285929145035684
88,player_1_hero_89,-0.027637761856337296
199,hero39_team_dire,-0.027205632061609714
152,player_2_hero_89,-0.02719153073505453
230,hero13_team_radiant,-0.027051642750458127
362,item_28_player6,-0.027046873940567085
112,player_3_hero_4,-0.026649206901670983
105,player_6_hero_68,-0.026018756803559577
163,player_6_hero_94,-0.025792533632645158
267,hero41_team_radiant,-0.025701886159377588
388,item_43_player1,-0.02546068229014614
229,hero44_team_radiant,-0.02543516063979666
97,player_2_hero_91,-0.025295832379738835
78,player_4_hero_50,-0.02519006441348482
72,player_3_hero_50,-0.024798327221646543
180,player_7_hero_89,-0.02465981211990898
154,player_5_hero_15,-0.024132018352521153
144,player_8_hero_71,-0.02406016722921602
247,hero24_team_dire,-0.02342392564876938
53,player_0_hero_51,-0.023275179420631224
117,player_4_hero_59,-0.022940378957780505
40,player_5_hero_76,-0.022868121250943684
30,player_3_hero_28,-0.022846974374805606
80,player_7_hero_14,-0.022441311757088175
350,item_28_player9,-0.022401316450246865
183,player_6_hero_82,-0.02233631077369103
45,player_0_hero_62,-0.02189179208277906
329,dire_event_type_1,-0.02186592051573817
91,player_2_hero_45,-0.021721573133223142
245,hero54_team_dire,-0.021220281735729124
93,player_6_hero_26,-0.02109778678363923
214,hero0_team_radiant,-0.020912405009676074
55,player_4_hero_51,-0.020413496310730833
85,player_9_hero_71,-0.02040241255222488
327,lh_player_9_600,-0.020248368140565947
65,player_1_hero_13,-0.01967072472456504
96,player_6_hero_40,-0.019652007033333797
257,hero32_team_dire,-0.01964695032945809
128,player_7_hero_94,-0.01929792676019642
